RVI,date
0.7557128787488757,2025-03-03
0.6392973974477104,2025-03-15
0.7297519614445522,2025-03-27
0.6521522120218821,2025-04-08
0.6036975847709255,2025-04-20
0.6898324450755748,2025-05-02
0.3783150657502396,2025-05-14
0.4963666359076239,2025-05-26
0.48234386862306894,2025-06-07
0.46780319385925223,2025-06-19
0.4807878733399246,2025-07-01
0.716629781058805,2025-07-13
0.573683437275316,2025-07-25
0.7077422239869113,2025-08-06
0.7155639760465862,2025-08-18
0.8666383636245351,2025-08-30
0.6968188807871014,2025-09-11
0.5877601848902462,2025-09-23
0.7188591238120803,2025-10-05
0.6709656992989828,2025-10-17
0.6557756394511088,2025-10-29
0.664653052837698,2025-11-10
0.617581633701584,2025-11-22
0.7024338989620997,2025-12-04
0.8441507081212216,2025-12-16
0.6943535780609541,2025-12-28
0.8681364113001971,2026-01-09
0.7624378895824551,2026-01-21
0.8567910874367575,2026-02-02
0.6909214166793893,2026-02-14
